name	type	layer
HSA04512	Pathway	1
HSA04540	Pathway	1
HSA04622	Pathway	1
HSA04630	Pathway	1
HSA04658	Pathway	1
HSA04659	Pathway	1
HSA04660	Pathway	1
HSA04668	Pathway	1
HSA04672	Pathway	1
HSA04713	Pathway	1
HSA04720	Pathway	1
HSA04723	Pathway	1
HSA04724	Pathway	1
HSA04725	Pathway	1
HSA04726	Pathway	1
HSA04727	Pathway	1
HSA04728	Pathway	1
HSA04730	Pathway	1
HSA04742	Pathway	1
HSA04750	Pathway	1
HSA04911	Pathway	1
HSA04912	Pathway	1
HSA04915	Pathway	1
HSA04916	Pathway	1
HSA04921	Pathway	1
HSA04924	Pathway	1
HSA04925	Pathway	1
HSA04930	Pathway	1
HSA04933	Pathway	1
HSA04940	Pathway	1
HSA05010	Pathway	1
HSA05014	Pathway	1
HSA05016	Pathway	1
HSA05031	Pathway	1
HSA05142	Pathway	1
HSA05162	Pathway	1
HSA05166	Pathway	1
HSA05202	Pathway	1
HSA05320	Pathway	1
HSA05321	Pathway	1
HSA05330	Pathway	1
HSA05332	Pathway	1
HSA05410	Pathway	1
HSA05412	Pathway	1
HSA05414	Pathway	1
HSA05418	Pathway	1
HSA_M00027	Pathway	1
HSA_M00037	Pathway	1
R-HSA-109582	Pathway	1
R-HSA-110313	Pathway	1
R-HSA-112310	Pathway	1
R-HSA-112311	Pathway	1
R-HSA-112315	Pathway	1
R-HSA-112316	Pathway	1
R-HSA-112399	Pathway	1
R-HSA-112412	Pathway	1
R-HSA-114604	Pathway	1
R-HSA-1168372	Pathway	1
R-HSA-1169408	Pathway	1
R-HSA-1169410	Pathway	1
R-HSA-1257604	Pathway	1
R-HSA-1266738	Pathway	1
R-HSA-1280215	Pathway	1
R-HSA-1280218	Pathway	1
R-HSA-1430728	Pathway	1
R-HSA-1433557	Pathway	1
R-HSA-15869	Pathway	1
R-HSA-162582	Pathway	1
R-HSA-163685	Pathway	1
R-HSA-1643685	Pathway	1
R-HSA-166520	Pathway	1
R-HSA-167044	Pathway	1
R-HSA-168249	Pathway	1
R-HSA-168253	Pathway	1
R-HSA-168254	Pathway	1
R-HSA-168256	Pathway	1
R-HSA-168276	Pathway	1
R-HSA-168928	Pathway	1
R-HSA-169893	Pathway	1
R-HSA-170968	Pathway	1
