Source	Target
FGFR3	613145
FGFR3	6137
FGFR3	6140
FGFR3	61503
FGFR3	6262
FGFR3	6267
FGFR3	6274
FGFR3	6287
FGFR3	6288
FGFR3	6306
FGFR3	64981
FGFR3	64982
FGFR3	650
FGFR3	65065
FGFR3	6508
FGFR3	65373
FGFR3	6590
FGFR3	6613
FGFR3	6675
FGFR3	6723
FGFR3	67678
FGFR3	681
FGFR3	689043
FGFR3	6971058
FGFR3	6971268
FGFR3	6971271
FGFR3	702
FGFR3	71352575
FGFR3	71629
FGFR3	72
FGFR3	7420
FGFR3	750
FGFR3	753
FGFR3	783
FGFR3	785
FGFR3	79041
FGFR3	798
FGFR3	7991
FGFR3	80817
FGFR3	824
FGFR3	8314
FGFR3	83404
FGFR3	83697
FGFR3	84815
FGFR3	849
FGFR3	875
FGFR3	8892
FGFR3	89472
FGFR3	91
FGFR3	91435
FGFR3	91469
FGFR3	92258
FGFR3	92817
FGFR3	92904
FGFR3	932
FGFR3	9378
FGFR3	938
FGFR3	94228
FGFR3	94715
FGFR3	95170
FGFR3	9548632
FGFR3	96384
FGFR3	970
FGFR3	9750
FGFR3	9795113
FGFR3	9831622
FGFR3	9838356
FGFR3	985
FGFR3	9877619
FGFR3	9903
FGFR3	9920281
FGFR3	99474
FGFR3	999
FGFR3	no12
FGFR3	no13
FGFR3	no17
FGFR3	no3
FGFR3	no7
RARB	7420
RARB	2969
RARB	72
RARB	10394
RARB	135
RARB	5280450
RARB	5282768
RARB	7991
RARB	49831816
RARB	8892
RARB	107
RARB	11005
RARB	10176710
RARB	445638
RARB	10559720
RARB	985
RARB	689043
RARB	445639
RARB	444795
RARB	10133
RARB	10140
RARB	12310288
RARB	12544
RARB	242
RARB	31401
RARB	444899
RARB	445580
RARB	94228
RARB	9903
RARB	101101166
RARB	102066451
RARB	10258
RARB	10267
RARB	1030
RARB	10308378
RARB	1031
RARB	10381440
RARB	10430
RARB	10466307
RARB	104745
RARB	104775
RARB	10661294
RARB	107735
RARB	10802382
RARB	11213350
RARB	1135
RARB	1145
RARB	1146
RARB	114781
RARB	1150
RARB	115089
RARB	11679800
RARB	1188
RARB	119
RARB	119307
RARB	122356
RARB	124343
RARB	124886
RARB	12587
RARB	12647
RARB	127
RARB	129858541
RARB	129887767
RARB	131751737
RARB	135191
RARB	135398592
RARB	135398593
RARB	135398638
RARB	135398658
RARB	13580
RARB	138478
RARB	138805674
RARB	139597845
RARB	145742
RARB	147608
RARB	14925
RARB	14969
RARB	150923
RARB	1530
RARB	1530236
RARB	153520426
RARB	154035
RARB	159660
RARB	160419
RARB	160471
RARB	160636
RARB	162859
RARB	175
RARB	176907
RARB	179
RARB	181511
RARB	1826
RARB	185914
RARB	18950
RARB	18986
RARB	192215
RARB	199
RARB	20601635
RARB	21722175
RARB	222528
RARB	22253297
RARB	23676771
RARB	24970825
RARB	25201019
RARB	262
RARB	2733768
RARB	2752054
RARB	283
RARB	3081033
RARB	311
RARB	321710
RARB	323
RARB	3292996
RARB	33032
RARB	332427
RARB	348154
RARB	3587356
RARB	359
RARB	36159
RARB	3744
RARB	3845
RARB	384870
RARB	402
RARB	4183249
RARB	424
RARB	439183
RARB	439232
RARB	439435
RARB	439520
RARB	439586
RARB	439709
RARB	439763
RARB	4398339
RARB	440993
RARB	442424
RARB	444873
RARB	445027
RARB	45093073
RARB	45093080
RARB	4615423
RARB	4671
RARB	4788
RARB	480764
RARB	4829
RARB	500189
RARB	51576
RARB	5202
RARB	522502
RARB	5280343
RARB	5280442
RARB	5280443
RARB	5280445
RARB	5280459
RARB	5280804
RARB	5280863
RARB	5280960
RARB	5280961
RARB	5281605
RARB	5281607
RARB	5281612
RARB	5281656
RARB	5281672
RARB	5281708
RARB	5282155
RARB	5282160
RARB	5284649
RARB	52920332
RARB	5315606
RARB	5317750
RARB	5318980
RARB	5327011
RARB	5375048
RARB	54580480
RARB	5459879
RARB	5460161
RARB	54670067
RARB	547
RARB	5481990
RARB	5488186
RARB	5488822
RARB	5610
RARB	58177709
RARB	586
RARB	5862
RARB	5950
RARB	5951
RARB	5960
RARB	602
RARB	6047
RARB	6057
RARB	6106
RARB	613145
RARB	6137
RARB	6140
RARB	61503
RARB	6262
RARB	6267
RARB	6274
RARB	6287
RARB	6288
RARB	6306
RARB	64981
RARB	64982
RARB	650
RARB	65065
RARB	6508
RARB	65373
RARB	6590
RARB	6613
RARB	6675
RARB	6723
RARB	6736
RARB	67678
RARB	681
RARB	6971058
RARB	6971268
RARB	6971271
RARB	69867
RARB	702
RARB	71352575
RARB	71629
RARB	750
RARB	753
RARB	783
RARB	785
RARB	79041
RARB	798
RARB	80817
RARB	824
RARB	8314
RARB	83404
RARB	83697
RARB	84815
RARB	849
RARB	875
RARB	89472
RARB	91
RARB	91435
RARB	91469
RARB	92258
RARB	92817
RARB	92904
RARB	932
RARB	9378
RARB	938
RARB	94715
RARB	95170
RARB	9548632
RARB	96384
RARB	970
RARB	9750
RARB	9795113
RARB	9831622
RARB	9838356
RARB	9877619
RARB	9920281
RARB	99474
RARB	999
RARB	no12
RARB	no13
RARB	no17
RARB	no3
RARB	no7
MAP3K5	129849310
MAP3K5	101101166
MAP3K5	10133
MAP3K5	10140
MAP3K5	10176710
MAP3K5	102066451
MAP3K5	10258
MAP3K5	10267
MAP3K5	1030
MAP3K5	10308378
MAP3K5	1031
MAP3K5	10381440
MAP3K5	10394
MAP3K5	10430
MAP3K5	10466307
MAP3K5	104745
MAP3K5	104775
MAP3K5	10559720
MAP3K5	10661294
MAP3K5	107
MAP3K5	107735
MAP3K5	10802382
MAP3K5	11005
MAP3K5	11213350
MAP3K5	1135
MAP3K5	1145
MAP3K5	1146
MAP3K5	114781
MAP3K5	1150
MAP3K5	115089
MAP3K5	11679800
MAP3K5	1188
MAP3K5	119
MAP3K5	119307
MAP3K5	122356
MAP3K5	12310288
MAP3K5	124343
MAP3K5	124886
MAP3K5	12544
MAP3K5	12587
MAP3K5	12647
MAP3K5	127
MAP3K5	129858541
MAP3K5	129887767
MAP3K5	131751737
MAP3K5	135
MAP3K5	135191
MAP3K5	135398592
MAP3K5	135398593
MAP3K5	135398638
MAP3K5	135398658
MAP3K5	13580
MAP3K5	138478
MAP3K5	138805674
MAP3K5	139597845
MAP3K5	145742
MAP3K5	147608
MAP3K5	14925
MAP3K5	14969
MAP3K5	150923
MAP3K5	1530
MAP3K5	1530236
MAP3K5	153520426
MAP3K5	154035
MAP3K5	159660
MAP3K5	160419
MAP3K5	160471
MAP3K5	160636
MAP3K5	162859
MAP3K5	175
MAP3K5	176907
MAP3K5	179
MAP3K5	181511
MAP3K5	1826
MAP3K5	185914
MAP3K5	18950
MAP3K5	18986
MAP3K5	192215
MAP3K5	199
MAP3K5	20601635
MAP3K5	21722175
MAP3K5	222528
MAP3K5	22253297
MAP3K5	23676771
MAP3K5	242
MAP3K5	24970825
MAP3K5	25201019
MAP3K5	262
MAP3K5	2733768
MAP3K5	2752054
MAP3K5	283
MAP3K5	2969
MAP3K5	3081033
MAP3K5	311
MAP3K5	31401
MAP3K5	321710
MAP3K5	323
MAP3K5	3292996
MAP3K5	33032
MAP3K5	332427
MAP3K5	348154
MAP3K5	3587356
MAP3K5	359
MAP3K5	36159
MAP3K5	3744
MAP3K5	3845
MAP3K5	384870
MAP3K5	402
MAP3K5	4183249
MAP3K5	424
MAP3K5	439183
MAP3K5	439232
MAP3K5	439435
MAP3K5	439520
MAP3K5	439586
MAP3K5	439709
MAP3K5	439763
MAP3K5	4398339
MAP3K5	440993
MAP3K5	442424
MAP3K5	444795
MAP3K5	444873
MAP3K5	444899
MAP3K5	445027
MAP3K5	445580
MAP3K5	445638
MAP3K5	445639
MAP3K5	45093073
MAP3K5	45093080
MAP3K5	4615423
MAP3K5	4671
MAP3K5	4788
MAP3K5	480764
MAP3K5	4829
MAP3K5	49831816
MAP3K5	500189
MAP3K5	51576
MAP3K5	5202
MAP3K5	522502
MAP3K5	5280343
MAP3K5	5280442
MAP3K5	5280443
MAP3K5	5280445
MAP3K5	5280450
MAP3K5	5280459
MAP3K5	5280804
MAP3K5	5280863
MAP3K5	5280960
MAP3K5	5280961
MAP3K5	5281605
MAP3K5	5281607
MAP3K5	5281612
MAP3K5	5281656
MAP3K5	5281672
MAP3K5	5281708
MAP3K5	5282155
MAP3K5	5282160
MAP3K5	5282768
MAP3K5	5284649
MAP3K5	52920332
MAP3K5	5315606
MAP3K5	5317750
MAP3K5	5318980
MAP3K5	5327011
MAP3K5	5375048
MAP3K5	54580480
MAP3K5	5459879
MAP3K5	5460161
MAP3K5	54670067
MAP3K5	547
MAP3K5	5481990
MAP3K5	5488186
MAP3K5	5488822
MAP3K5	5610
MAP3K5	58177709
MAP3K5	586
MAP3K5	5862
MAP3K5	5950
MAP3K5	5951
MAP3K5	5960
MAP3K5	602
MAP3K5	6047
MAP3K5	6057
MAP3K5	6106
MAP3K5	613145
MAP3K5	6137
MAP3K5	6140
MAP3K5	61503
MAP3K5	6262
MAP3K5	6267
MAP3K5	6274
MAP3K5	6287
MAP3K5	6288
MAP3K5	6306
MAP3K5	64981
MAP3K5	64982
MAP3K5	650
MAP3K5	65065
MAP3K5	6508
MAP3K5	65373
MAP3K5	6590
MAP3K5	6613
MAP3K5	6675
MAP3K5	6723
MAP3K5	6736
MAP3K5	67678
MAP3K5	681
MAP3K5	689043
MAP3K5	6971058
MAP3K5	6971268
MAP3K5	6971271
MAP3K5	69867
MAP3K5	702
MAP3K5	71352575
MAP3K5	71629
MAP3K5	72
MAP3K5	7420
MAP3K5	750
MAP3K5	753
MAP3K5	783
MAP3K5	785
MAP3K5	79041
MAP3K5	798
MAP3K5	7991
MAP3K5	80817
MAP3K5	824
MAP3K5	8314
MAP3K5	83404
MAP3K5	83697
MAP3K5	84815
MAP3K5	849
MAP3K5	875
MAP3K5	8892
MAP3K5	89472
MAP3K5	91
MAP3K5	91435
MAP3K5	91469
MAP3K5	92258
MAP3K5	92817
MAP3K5	92904
MAP3K5	932
MAP3K5	9378
MAP3K5	938
MAP3K5	94228
MAP3K5	94715
MAP3K5	95170
MAP3K5	9548632
MAP3K5	96384
MAP3K5	970
MAP3K5	9750
MAP3K5	9795113
MAP3K5	9831622
MAP3K5	9838356
MAP3K5	985
MAP3K5	9877619
MAP3K5	9903
MAP3K5	9920281
MAP3K5	99474
MAP3K5	999
MAP3K5	no12
MAP3K5	no13
MAP3K5	no17
MAP3K5	no3
MAP3K5	no7
CTSB	5375048
CTSB	92258
CTSB	9877619
CTSB	92904
CTSB	138478
CTSB	107
CTSB	3744
CTSB	522502
CTSB	6140
CTSB	3292996
CTSB	124886
CTSB	138805674
CTSB	145742
CTSB	36159
CTSB	439232
CTSB	65065
CTSB	80817
CTSB	849
CTSB	932
CTSB	95170
CTSB	9838356
CTSB	99474
CTSB	101101166
CTSB	10133
CTSB	10140
CTSB	10176710
CTSB	102066451
CTSB	10258
CTSB	10267
CTSB	1030
CTSB	10308378
CTSB	1031
CTSB	10381440
CTSB	10394
CTSB	10430
CTSB	10466307
CTSB	104745
CTSB	104775
CTSB	10559720
CTSB	10661294
CTSB	107735
CTSB	10802382
CTSB	11005
CTSB	11213350
CTSB	1135
CTSB	1145
CTSB	1146
CTSB	114781
CTSB	1150
CTSB	115089
CTSB	11679800
CTSB	1188
CTSB	119
CTSB	119307
CTSB	122356
CTSB	12310288
CTSB	124343
CTSB	12544
CTSB	12587
CTSB	12647
CTSB	127
CTSB	129858541
CTSB	129887767
CTSB	131751737
CTSB	135
CTSB	135191
CTSB	135398592
CTSB	135398593
CTSB	135398638
CTSB	135398658
CTSB	13580
CTSB	139597845
CTSB	147608
CTSB	14925
CTSB	14969
CTSB	150923
CTSB	1530
CTSB	1530236
CTSB	153520426
CTSB	154035
CTSB	159660
CTSB	160419
CTSB	160471
CTSB	160636
CTSB	162859
CTSB	175
CTSB	176907
CTSB	179
CTSB	181511
CTSB	1826
CTSB	185914
CTSB	18950
CTSB	18986
CTSB	192215
CTSB	199
CTSB	20601635
CTSB	21722175
CTSB	222528
CTSB	22253297
CTSB	23676771
CTSB	242
CTSB	24970825
CTSB	25201019
CTSB	262
CTSB	2733768
CTSB	2752054
CTSB	283
CTSB	2969
CTSB	3081033
CTSB	311
CTSB	31401
CTSB	321710
CTSB	323
CTSB	33032
CTSB	332427
CTSB	348154
CTSB	3587356
CTSB	359
CTSB	3845
CTSB	384870
CTSB	402
CTSB	4183249
CTSB	424
CTSB	439183
CTSB	439435
CTSB	439520
CTSB	439586
CTSB	439709
CTSB	439763
CTSB	4398339
CTSB	440993
CTSB	442424
CTSB	444795
CTSB	444873
CTSB	444899
CTSB	445027
CTSB	445580
CTSB	445638
CTSB	445639
CTSB	45093073
CTSB	45093080
CTSB	4615423
CTSB	4671
CTSB	4788
CTSB	480764
CTSB	4829
CTSB	49831816
CTSB	500189
CTSB	51576
CTSB	5202
CTSB	5280343
CTSB	5280442
CTSB	5280443
CTSB	5280445
CTSB	5280450
CTSB	5280459
CTSB	5280804
CTSB	5280863
CTSB	5280960
CTSB	5280961
CTSB	5281605
CTSB	5281607
CTSB	5281612
CTSB	5281656
CTSB	5281672
CTSB	5281708
CTSB	5282155
CTSB	5282160
CTSB	5282768
CTSB	5284649
CTSB	52920332
CTSB	5315606
CTSB	5317750
CTSB	5318980
CTSB	5327011
CTSB	54580480
CTSB	5459879
CTSB	5460161
CTSB	54670067
CTSB	547
CTSB	5481990
CTSB	5488186
CTSB	5488822
CTSB	5610
CTSB	58177709
CTSB	586
CTSB	5862
CTSB	5950
CTSB	5951
CTSB	5960
CTSB	602
CTSB	6047
CTSB	6057
CTSB	6106
CTSB	613145
CTSB	6137
CTSB	61503
CTSB	6262
CTSB	6267
CTSB	6274
CTSB	6287
CTSB	6288
CTSB	6306
CTSB	64981
CTSB	64982
CTSB	650
CTSB	6508
CTSB	65373
CTSB	6590
CTSB	6613
CTSB	6675
CTSB	6723
CTSB	6736
CTSB	67678
CTSB	681
CTSB	689043
CTSB	6971058
CTSB	6971268
CTSB	6971271
CTSB	69867
CTSB	702
CTSB	71352575
CTSB	71629
CTSB	72
CTSB	7420
CTSB	750
CTSB	753
CTSB	783
CTSB	785
CTSB	79041
CTSB	798
CTSB	7991
CTSB	824
CTSB	8314
CTSB	83404
CTSB	83697
CTSB	84815
CTSB	875
CTSB	8892
CTSB	89472
CTSB	91
CTSB	91435
CTSB	91469
CTSB	92817
CTSB	9378
CTSB	938
CTSB	94228
CTSB	94715
CTSB	9548632
CTSB	96384
CTSB	970
CTSB	9750
CTSB	9795113
CTSB	9831622
CTSB	985
CTSB	9903
CTSB	9920281
CTSB	999
CTSB	no12
CTSB	no13
CTSB	no17
CTSB	no3
CTSB	no7
CTSB	1117
CTSB	280
CDK5	321710
CDK5	18986
CDK5	5281607
CDK5	10802382
CDK5	115089
CDK5	150923
CDK5	332427
CDK5	65373
CDK5	71352575
CDK5	10381440
CDK5	10661294
CDK5	1135
CDK5	1188
CDK5	124343
CDK5	135398638
CDK5	1530
CDK5	no12
CDK5	no13
GRIK1	6306
GRIK1	6106
GRIK1	5862
GRIK1	12647
GRIK1	6267
GRIK1	6137
GRIK1	9750
GRIK1	6274
GRIK1	6287
GRIK1	14925
GRIK1	6047
GRIK1	33032
GRIK1	424
GRIK1	10430
GRIK1	8314
GRIK1	67678
GRIK1	824
GRIK1	6288
GRIK1	84815
GRIK1	5950
GRIK1	6140
GRIK1	5960
GRIK1	602
GRIK1	159660
GRIK1	69867
GRIK1	6262
GRIK1	80817
GRIK1	5951
GRIK1	6057
GRIK1	104775
GRIK1	114781
GRIK1	119
GRIK1	12587
GRIK1	13580
GRIK1	145742
GRIK1	1826
GRIK1	192215
GRIK1	22253297
GRIK1	2752054
GRIK1	311
GRIK1	348154
GRIK1	3587356
GRIK1	439435
GRIK1	4398339
GRIK1	444795
GRIK1	444873
GRIK1	445639
GRIK1	5282768
GRIK1	5459879
GRIK1	547
GRIK1	586
GRIK1	6508
GRIK1	6613
GRIK1	689043
GRIK1	7991
GRIK1	83697
GRIK1	8892
GRIK1	92817
GRIK1	9378
GRIK1	9548632
GRIK1	96384
GRIK1	104745
GRIK1	107735
GRIK1	124886
GRIK1	160419
GRIK1	160471
GRIK1	175
GRIK1	23676771
GRIK1	439183
GRIK1	439232
GRIK1	445027
GRIK1	5327011
GRIK1	5460161
GRIK1	61503
GRIK1	65065
GRIK1	6590
GRIK1	6971058
GRIK1	6971271
GRIK1	750
GRIK1	79041
GRIK1	849
GRIK1	875
GRIK1	91435
GRIK1	92258
GRIK1	94715
GRIK1	970
ST6GAL1	12310288
ST6GAL1	5281612
ST6GAL1	5280442
ST6GAL1	94228
ST6GAL1	5282160
ST6GAL1	5318980
ST6GAL1	6675
ST6GAL1	5280343
ST6GAL1	5281656
ST6GAL1	222528
ST6GAL1	5488186
ST6GAL1	5280443
ST6GAL1	439763
ST6GAL1	10140
ST6GAL1	9903
ST6GAL1	3845
ST6GAL1	5280804
ST6GAL1	10133
ST6GAL1	5280445
ST6GAL1	5280459
ST6GAL1	5281672
ST6GAL1	439520
ST6GAL1	64982
ST6GAL1	10176710
ST6GAL1	5281605
ST6GAL1	129887767
ST6GAL1	5284649
ST6GAL1	5280863
ST6GAL1	12544
ST6GAL1	2733768
ST6GAL1	31401
ST6GAL1	160636
ST6GAL1	45093073
ST6GAL1	5281607
ST6GAL1	5281708
ST6GAL1	5327011
ST6GAL1	176907
ST6GAL1	932
ST6GAL1	9795113
ST6GAL1	9838356
F3	54580480
F3	119307
F3	11679800
F3	162859
F3	689043
F3	5280960
F3	101101166
F3	176907
F3	181511
F3	185914
F3	384870
F3	4788
F3	480764
F3	500189
F3	64981
F3	91469
F3	932
F3	9795113
F3	283
NR4A1	7420
NR4A1	192215
NR4A1	72
NR4A1	135
NR4A1	1826
NR4A1	69867
NR4A1	127
NR4A1	444795
NR4A1	10381440
NR4A1	2969
NR4A1	445027
NR4A1	5202
NR4A1	10258
NR4A1	181511
NR4A1	18986
NR4A1	20601635
NR4A1	3081033
NR4A1	51576
NR4A1	785
NR4A1	91
NR4A1	92904
NR4A1	96384
FKBP4	440993
FKBP4	5481990
FKBP4	9831622
FKBP4	138805674
