"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Carbonic anhydrase XIV","CA14","Q9ULX7","CHEMBL3510","Lyase","0.100578902067","17 /  0     "
"Nuclear factor NF-kappa-B p65 subunit","RELA","Q04206","CHEMBL5533","Transcription factor","0.100578902067","7 /  0     "
"Matrix metalloproteinase 3","MMP3","P08254","CHEMBL283","Protease","0.100578902067","42 /  0     "
"Phosphodiesterase 4D","PDE4D","Q08499","CHEMBL288","Phosphodiesterase","0.100578902067","6 /  0     "
"G-protein coupled receptor 55","GPR55","Q9Y2T6","CHEMBL1075322","Family A G protein-coupled receptor","0.100578902067","0 /  2     "
"N-arachidonyl glycine receptor","GPR18","Q14330","CHEMBL2384898","Family A G protein-coupled receptor","0.100578902067","0 /  1     "
"Cannabinoid receptor 2","CNR2","P34972","CHEMBL253","Family A G protein-coupled receptor","0.100578902067","0 /  81     "
"Vanilloid receptor","TRPV1","Q8NER1","CHEMBL4794","Voltage-gated ion channel","0.100578902067","0 /  1     "
"Liver glycogen phosphorylase","PYGL","P06737","CHEMBL2568","Enzyme","0.100578902067","24 /  0     "
"LDL-associated phospholipase A2","PLA2G7","Q13093","CHEMBL3514","Enzyme","0.100578902067","35 /  0     "
"Androgen Receptor","AR","P10275","CHEMBL1871","Nuclear receptor","0.100578902067","39 /  24     "
"Heat shock protein HSP 90-alpha","HSP90AA1","P07900","CHEMBL3880","Other cytosolic protein","0.0","3 /  0     "
"GABA-A receptor; alpha-1/beta-2/gamma-2","GABRA1 GABRB2 GABRG2","P14867 P47870 P18507","CHEMBL2095172","Ligand-gated ion channel","0.0","0 /  3     "
"Serine/threonine-protein kinase mTOR","MTOR","P42345","CHEMBL2842","Kinase","0.0","54 /  0     "
"Protein kinase C epsilon","PRKCE","Q02156","CHEMBL3582","Kinase","0.0","2 /  0     "
"Protein-tyrosine phosphatase 2C","PTPN11","Q06124","CHEMBL3864","Phosphatase","0.0","1 /  0     "
"Matrix metalloproteinase 14","MMP14","P50281","CHEMBL3869","Protease","0.0","14 /  0     "
"ADAM10","ADAM10","O14672","CHEMBL5028","Protease","0.0","2 /  0     "
