"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ZNF460-AS1",2.63162792549842e-09,0.13419364733986,0.042,0.036,5.00364370414987e-09
"LMAN1",2.6510765942e-09,-0.176683093713206,0.107,0.116,5.03973933490964e-09
"AC005740.3",2.68673136233333e-09,-0.112657718596656,0.014,0.018,5.10662498032562e-09
"FMR1-IT1",2.71816907853361e-09,0.259569545564968,0.015,0.011,5.16547332244627e-09
"AC125613.1",2.72013416240629e-09,-0.312424155524717,0.068,0.075,5.1683025383069e-09
"HDGFL2",2.72680511078905e-09,-0.194866910694932,0.098,0.106,5.18007042317436e-09
"KLK6",2.73414013986413e-09,0.121877397485481,0.021,0.017,5.19309551158160e-09
"TPD52",2.74378689370515e-09,0.147548447535975,0.324,0.314,5.21050605243167e-09
"ASB14",2.74612212705691e-09,-0.230261067707744,0.012,0.015,5.21402820659571e-09
"GLT8D1",2.75304165263025e-09,0.198735701483354,0.097,0.088,5.22625174469749e-09
"CKS1B",2.77398253856561e-09,-0.164342315221405,0.014,0.018,5.26508387720404e-09
"GOLT1B",2.78721909989944e-09,0.202993261050856,0.229,0.218,5.28928199597916e-09
"WDHD1",2.80705166476644e-09,0.274531671179438,0.063,0.056,5.3259866435357e-09
"SOX8",2.82711050916487e-09,-0.488722043779416,0.075,0.082,5.3631077159e-09
"PNPLA2",2.83425048180467e-09,-0.170462261100807,0.069,0.077,5.37571263381620e-09
"DEF6",2.84378936652829e-09,0.430551028041038,0.018,0.014,5.39286235865055e-09
"FAM104B",2.86575974284957e-09,-0.217099069627861,0.04,0.046,5.4335766153522e-09
"PGM1",2.87318890449294e-09,-0.350567736829172,0.094,0.103,5.44671083204978e-09
"PIGH",2.88650724728661e-09,-0.215222703791244,0.044,0.05,5.47100264459511e-09
"ZNF853",2.88819609609827e-09,-0.189097717680646,0.016,0.02,5.47324761417435e-09
"AC108519.1",2.89123320841941e-09,0.139938461851572,0.24,0.229,5.47804636713096e-09
"RPL22L1",2.9926298254589e-09,-0.235609109176664,0.016,0.02,5.66917357473019e-09
"HHIP",3.01639479206661e-09,-0.110016891689022,0.163,0.152,5.71319600082296e-09
"SAMSN1",3.08284056951617e-09,0.293515410193412,0.024,0.02,5.83802845023035e-09
"FLI1",3.0962907352073e-09,0.255021009007327,0.034,0.029,5.86247614163922e-09
"RPS18",3.10664771257597e-09,0.307572230348235,0.257,0.249,5.88105972246368e-09
"ZNF765",3.12761304860473e-09,0.265015391043434,0.047,0.041,5.91971553992847e-09
"FP326651.1",3.13594349792757e-09,0.376646640208109,0.01,0.007,5.93444766236694e-09
"FSTL5",3.14708205315506e-09,-0.10980632971502,0.279,0.292,5.95365757223702e-09
"CAPN5",3.14719194860856e-09,-0.2163077730552,0.051,0.058,5.95365757223702e-09
"RNF214",3.14879069268546e-09,0.161976155882243,0.131,0.121,5.95564368246991e-09
"CCNT2-AS1",3.15426676186034e-09,0.19045303172378,0.135,0.126,5.96496142086903e-09
"AL513164.1",3.15731786075925e-09,-0.119834042177851,0.019,0.023,5.96969090557565e-09
"AC006213.3",3.17575213837136e-09,0.234830364650999,0.045,0.039,6.00349938213722e-09
"PRKDC",3.20867422008302e-09,0.146754781441558,0.333,0.324,6.06467931756155e-09
"COL20A1",3.22846973516263e-09,-0.625275267752817,0.023,0.027,6.10103188719083e-09
"NCAPG2",3.31421912997156e-09,0.239252472571549,0.059,0.052,6.26198707632273e-09
"WNT2B",3.33730382587483e-09,0.309774602427838,0.069,0.062,6.3045062351267e-09
"AC011455.6",3.35699961707372e-09,0.423839063441667,0.028,0.024,6.34060972060347e-09
"CCDC51",3.43098710947331e-09,-0.40344660880538,0.014,0.017,6.47922748431863e-09
"MYL9",3.44575093779793e-09,-0.546389953671642,0.008,0.01,6.50597588760141e-09
"ZNF592",3.50387782249065e-09,0.1102193055289,0.141,0.131,6.61457520039076e-09
"FLAD1",3.52992264038897e-09,-0.205704315211475,0.064,0.071,6.6625831572205e-09
"ERGIC3",3.55888684577819e-09,-0.156977302046723,0.109,0.118,6.71608368061551e-09
"AL159169.2",3.5782564367717e-09,0.222392102513572,0.042,0.037,6.75146245790467e-09
"SYVN1",3.5875201651377e-09,-0.24325953762937,0.059,0.066,6.76776448398978e-09
"PPARG",3.59052508056884e-09,0.204730968502999,0.13,0.12,6.77225580553668e-09
"AC046158.1",3.63261690649506e-09,-0.608619926368728,0.011,0.014,6.85045638727458e-09
"RBL1",3.69394002202389e-09,0.129845908836156,0.105,0.096,6.96489021355017e-09
"AL512330.1",3.6996542314151e-09,-0.282625006750457,0.012,0.015,6.97445240880564e-09
"SLC27A6",3.71244072319872e-09,0.31308126031663,0.029,0.025,6.99734137353297e-09
"ACTR3C",3.73073842930747e-09,0.264321326481269,0.061,0.054,7.03060831823817e-09
"TMEM251",3.7577343166558e-09,-0.241324259476627,0.026,0.031,7.08025266018964e-09
"AC006581.2",3.77597903561954e-09,0.105649806761976,0.068,0.061,7.11339383949785e-09
"GPAT4",3.77868314355453e-09,-0.200787371319326,0.128,0.137,7.11725235040970e-09
"RFX5",3.77962940684275e-09,-0.217906021002256,0.02,0.024,7.1177991484989e-09
"AC104117.3",3.9027593555199e-09,0.282949563321867,0.036,0.03,7.34840218059110e-09
"SCOC-AS1",3.93040197305619e-09,0.172749418236337,0.024,0.019,7.39916582401678e-09
"ELOVL1",3.93827475136037e-09,-0.392196872769378,0.042,0.048,7.41270066383545e-09
"RBM15",3.95923764701919e-09,-0.184940950615328,0.048,0.054,7.45086502043101e-09
"AC107204.1",3.96174208141627e-09,0.112654630868087,0.093,0.085,7.45428530006034e-09
"SRGN",3.97717121452218e-09,-0.708768320414242,0.017,0.021,7.48201887114775e-09
"AL356094.2",3.99581947371795e-09,0.479042460527737,0.026,0.021,7.5157977308569e-09
"XRN2",4.01665830416887e-09,0.13155477571495,0.201,0.19,7.55368444688673e-09
"MYCN",4.03609000230351e-09,-0.417118967448094,0.013,0.017,7.58891225350812e-09
"AC027801.1",4.03878978296345e-09,0.455054616029317,0.033,0.028,7.59267289240062e-09
"TAF4",4.16346935801819e-09,0.128675443807032,0.122,0.112,7.82570691215233e-09
"NXPH1",4.212619327095e-09,-0.186999565534987,0.199,0.208,7.91671844792308e-09
"FBXO15",4.23809366694886e-09,0.185581994005165,0.04,0.035,7.96321287966442e-09
"WDR53",4.24632382218228e-09,0.168131317997413,0.038,0.032,7.97729567079293e-09
"SLC25A42",4.25019693901464e-09,0.141001702422357,0.143,0.133,7.98318971529303e-09
"RPGR",4.25440096222676e-09,0.113813453570908,0.094,0.085,7.98970315699594e-09
"AC097460.1",4.26018537330571e-09,0.302007822167156,0.041,0.036,7.99918177638697e-09
"POU3F3",4.27885027821621e-09,-0.210707047614711,0.096,0.105,8.03283812611144e-09
