"Query","HGNC_ID","Source"
"FUT4","FUT4","biomart"
"FUT7","FUT7","biomart"
"FYN","FYN","biomart"
"G6PD","G6PD","biomart"
"GAA","GAA","biomart"
"GABBR1","GABBR1","biomart"
"GABRA5","GABRA5","biomart"
"GABRR1","GABRR1","biomart"
"GAK","GAK","biomart"
"GAPDH","GAPDH","biomart"
"GART","GART","biomart"
"GBA2","GBA2","biomart"
"GCG","GCG","biomart"
"GCGR","GCGR","biomart"
"GCK","GCK","biomart"
"GCLC","GCLC","biomart"
"GDA","GDA","biomart"
"GFPT1","GFPT1","biomart"
"GHRL","GHRL","biomart"
"GHSR","GHSR","biomart"
"GIPR","GIPR","biomart"
"GLI1","GLI1","biomart"
"GLI2","GLI2","biomart"
"GLO1","GLO1","biomart"
"GLRA1","GLRA1","biomart"
"GLRA2","GLRA2","biomart"
"GLUL","GLUL","biomart"
"GNPAT","GNPAT","biomart"
"GNRHR","GNRHR","biomart"
"GPBAR1","GPBAR1","biomart"
"GPER1","GPER1","biomart"
"GPR119","GPR119","biomart"
"GPR174","GPR174","biomart"
"GPR18","GPR18","biomart"
"GPR34","GPR34","biomart"
"GPR35","GPR35","biomart"
"GPR55","GPR55","biomart"
"GPR84","GPR84","biomart"
"GRB2","GRB2","biomart"
"GRIA1","GRIA1","biomart"
"GRIA2","GRIA2","biomart"
"GRIA4","GRIA4","biomart"
"GRIK1","GRIK1","biomart"
"GRIK2","GRIK2","biomart"
"GRIK3","GRIK3","biomart"
"GRIK5","GRIK5","biomart"
"GRK1","GRK1","biomart"
"GRK2","GRK2","biomart"
"GRK6","GRK6","biomart"
"GRK7","GRK7","biomart"
"GRM1","GRM1","biomart"
"GRM2","GRM2","biomart"
"GRM3","GRM3","biomart"
"GRM4","GRM4","biomart"
"GRM5","GRM5","biomart"
"GRM6","GRM6","biomart"
"GRM7","GRM7","biomart"
"GRM8","GRM8","biomart"
"GSK3A","GSK3A","biomart"
"GSK3B","GSK3B","biomart"
"GSR","GSR","biomart"
"GSTA1","GSTA1","biomart"
"GSTA2","GSTA2","biomart"
"GSTK1","GSTK1","biomart"
"GSTM1","GSTM1","biomart"
"GSTP1","GSTP1","biomart"
"GUSB","GUSB","biomart"
"GYS1","GYS1","biomart"
"GZMB","GZMB","biomart"
"HAO1","HAO1","biomart"
"HCAR2","HCAR2","biomart"
"HCAR3","HCAR3","biomart"
"HCK","HCK","biomart"
"HDAC1","HDAC1","biomart"
"HDAC10","HDAC10","biomart"
"HDAC11","HDAC11","biomart"
"HDAC2","HDAC2","biomart"
"HDAC3","HDAC3","biomart"
"HDAC4","HDAC4","biomart"
"HDAC5","HDAC5","biomart"
"HDAC6","HDAC6","biomart"
"HDAC7","HDAC7","biomart"
"HDAC8","HDAC8","biomart"
"HDAC9","HDAC9","biomart"
"HGFAC","HGFAC","biomart"
"HIF1A","HIF1A","biomart"
"HIPK4","HIPK4","biomart"
"HLA-A","HLA-A","biomart"
"HLA-DRB1","HLA-DRB1","biomart"
"HMGCR","HMGCR","biomart"
"HNF4A","HNF4A","biomart"
"HPGD","HPGD","biomart"
"HPGDS","HPGDS","biomart"
"HPSE","HPSE","biomart"
"HRAS","HRAS","biomart"
"HRH1","HRH1","biomart"
"HRH2","HRH2","biomart"
"HRH3","HRH3","biomart"
"HRH4","HRH4","biomart"
"HSD11B1","HSD11B1","biomart"
"HSD11B2","HSD11B2","biomart"
"HSD17B1","HSD17B1","biomart"
"HSD17B14","HSD17B14","biomart"
"HSD17B2","HSD17B2","biomart"
"HSD17B3","HSD17B3","biomart"
"HSD17B7","HSD17B7","biomart"
"HSP90AA1","HSP90AA1","biomart"
"HSP90AB1","HSP90AB1","biomart"
"HSP90B1","HSP90B1","biomart"
"HSPA1A","HSPA1A","biomart"
"HSPA5","HSPA5","biomart"
"HSPA8","HSPA8","biomart"
"HTR1A","HTR1A","biomart"
"HTR1B","HTR1B","biomart"
"HTR1D","HTR1D","biomart"
"HTR1E","HTR1E","biomart"
"HTR2A","HTR2A","biomart"
"HTR2B","HTR2B","biomart"
"HTR2C","HTR2C","biomart"
"HTR3A","HTR3A","biomart"
"HTR4","HTR4","biomart"
"HTR5A","HTR5A","biomart"
"HTR6","HTR6","biomart"
"HTR7","HTR7","biomart"
"HTT","HTT","biomart"
"HUNK","HUNK","biomart"
"ICMT","ICMT","biomart"
"IDE","IDE","biomart"
"IDH1","IDH1","biomart"
"IDO1","IDO1","biomart"
"IGF1R","IGF1R","biomart"
"IGF2R","IGF2R","biomart"
"IGFBP1","IGFBP1","biomart"
"IGFBP2","IGFBP2","biomart"
"IGFBP3","IGFBP3","biomart"
"IGFBP4","IGFBP4","biomart"
"IGFBP5","IGFBP5","biomart"
"IGFBP6","IGFBP6","biomart"
"IKBKB","IKBKB","biomart"
"IL1B","IL1B","biomart"
"IL2","IL2","biomart"
"IL6","IL6","biomart"
"IL6ST","IL6ST","biomart"
"ILK","ILK","biomart"
"IMPDH1","IMPDH1","biomart"
"IMPDH2","IMPDH2","biomart"
"INSR","INSR","biomart"
"INSRR","INSRR","biomart"
"IRAK4","IRAK4","biomart"
"ITGA2","ITGA2","biomart"
"ITGAL","ITGAL","biomart"
"ITK","ITK","biomart"
"JAK1","JAK1","biomart"
"JAK2","JAK2","biomart"
"JAK3","JAK3","biomart"
"JUN","JUN","biomart"
"KAT2B","KAT2B","biomart"
"KCNA3","KCNA3","biomart"
"KCNA5","KCNA5","biomart"
"KCNH2","KCNH2","biomart"
