"","x"
"418","GPR174"
"419","GPR18"
"420","GPR34"
"421","GPR35"
"422","GPR55"
"423","GPR84"
"424","GRB2"
"425","GRIA1"
"426","GRIA2"
"427","GRIA4"
"428","GRIK1"
"429","GRIK2"
"430","GRIK3"
"431","GRIK5"
"432","GRIN2A GRIN1"
"433","GRK1"
"434","GRK2"
"435","GRK6"
"436","GRK7"
"437","GRM1"
"438","GRM2"
"439","GRM3"
"440","GRM4"
"441","GRM5"
"442","GRM6"
"443","GRM7"
"444","GRM8"
"445","GSK3A"
"446","GSK3B"
"447","GSR"
"448","GSTA1"
"449","GSTA2"
"450","GSTK1"
"451","GSTM1"
"452","GSTP1"
"453","GUSB"
"454","GYS1"
"455","GZMB"
"456","HAO1"
"457","HCAR2"
"458","HCAR3"
"459","HCK"
"460","HDAC1"
"461","HDAC10"
"462","HDAC11"
"463","HDAC2"
"464","HDAC3"
"465","HDAC4"
"466","HDAC5"
"467","HDAC6"
"468","HDAC7"
"469","HDAC8"
"470","HDAC9"
"471","HGFAC"
"472","HIF1A"
"473","HIPK4"
"474","HLA-A"
"475","HLA-DRB1"
"476","HMGCR"
"477","HNF4A"
"478","HPGD"
"479","HPGDS"
"480","HPSE"
"481","HRAS"
"482","HRH1"
"483","HRH2"
"484","HRH3"
"485","HRH4"
"486","HSD11B1"
"487","HSD11B2"
"488","HSD17B1"
"489","HSD17B14"
"490","HSD17B2"
"491","HSD17B3"
"492","HSD17B7"
"493","HSP90AA1"
"494","HSP90AB1"
"495","HSP90B1"
"496","HSPA1A"
"497","HSPA5"
"498","HSPA8"
"499","HTR1A"
"500","HTR1B"
"501","HTR1D"
"502","HTR1E"
"503","HTR2A"
"504","HTR2B"
"505","HTR2C"
"506","HTR3A"
"507","HTR4"
"508","HTR5A"
"509","HTR6"
"510","HTR7"
"511","HTT"
"512","HUNK"
"513","IARS"
"514","ICK"
"515","ICMT"
"516","IDE"
"517","IDH1"
"518","IDO1"
"519","IGF1R"
"520","IGF2R"
"521","IGFBP1"
"522","IGFBP2"
"523","IGFBP3"
"524","IGFBP4"
"525","IGFBP5"
"526","IGFBP6"
"527","IKBKB"
"528","IL1B"
"529","IL2"
"530","IL6"
"531","IL6ST"
"532","ILK"
"533","IMPDH1"
"534","IMPDH2"
"535","INSR"
"536","INSRR"
"537","IRAK4"
"538","ITGA2"
"539","ITGA2B ITGB3"
"540","ITGAL"
"541","ITGAL ICAM1 ITGB2"
"542","ITGAV ITGB3"
"543","ITGB1 ITGA1"
"544","ITGB1 ITGA2"
"545","ITGB1 ITGA4"
"546","ITGB1 ITGA5"
"547","ITGB7 ITGA4"
"548","ITK"
"549","JAK1"
"550","JAK2"
"551","JAK3"
"552","JUN"
"553","KAT2B"
"554","KCNA3"
"555","KCNA5"
"556","KCNE1 KCNQ1"
"557","KCNH2"
"558","KCNJ5 KCNJ3"
"559","KCNJ6 KCNJ3"
"560","KCNMA1"
"561","KCNN4"
"562","KCNQ1"
"563","KDM1A"
"564","KDM2A"
"565","KDM2B"
"566","KDM3A"
"567","KDM4A"
"568","KDM4B"
"569","KDM4C"
"570","KDM4D"
"571","KDM4E"
"572","KDM5A"
"573","KDM5B"
"574","KDM5C"
"575","KDM6B"
"576","KDR"
"577","KEAP1"
"578","KHK"
"579","KIF11"
"580","KIF20A"
"581","KISS1R"
"582","KIT"
"583","KLK1"
"584","KLK2"
"585","KLK3"
"586","KLKB1"
"587","KMO"
"588","KYAT3"
"589","KYNU"
"590","LAP3"
"591","LCK"
"592","LDHA"
"593","LDHB"
"594","LGALS3"
"595","LGALS4"
"596","LGALS7"
"597","LGALS8"
"598","LGMN"
"599","LIMK1"
"600","LIMK2"
"601","LIPA"
"602","LNPEP"
"603","LPAR1"
"604","LPAR2"
"605","LPAR3"
"606","LPAR4"
"607","LPAR5"
"608","LPAR6"
"609","LRRK2"
"610","LTA4H"
"611","LTB4R"
"612","LYN"
"613","LYPLA1"
"614","LYPLA2"
"615","MAG"
"616","MAOA"
"617","MAOB"
"618","MAP2K1"
"619","MAP2K2"
"620","MAP2K3"
"621","MAP2K4"
"622","MAP3K12"
"623","MAP3K13"
"624","MAP3K14"
"625","MAP3K15"
"626","MAP3K19"
"627","MAP3K20"
"628","MAP3K7"
"629","MAP3K8"
"630","MAPK1"
"631","MAPK10"
"632","MAPK11"
"633","MAPK14"
"634","MAPK15"
"635","MAPK3"
"636","MAPK8"
"637","MAPK9"
"638","MAPKAPK2"
"639","MAPKAPK5"
"640","MAPT"
"641","MAST1"
"642","MAST3"
"643","MB"
"644","MBD2"
"645","MCHR1"
"646","MCL1"
"647","MDM2"
"648","MELK"
"649","MERTK"
"650","MET"
"651","METAP1"
"652","MGAM"
"653","MGLL"
"654","MIF"
"655","MKNK1"
"656","MKNK2"
"657","MME"
"658","MMP1"
"659","MMP10"
"660","MMP12"
"661","MMP13"
"662","MMP14"
"663","MMP16"
"664","MMP2"
"665","MMP3"
"666","MMP7"
"667","MMP8"
"668","MMP9"
"669","MPG"
"670","MPI"
"671","MPO"
"672","MT-ND4"
"673","MTNR1A"
"674","MTNR1B"
"675","MTOR"
"676","MYLK"
"677","NAAA"
"678","NAE1"
"679","NAMPT"
"680","NEK1"
"681","NEK2"
"682","NEK6"
"683","NEU2"
"684","NEU3"
"685","NEU4"
"686","NFE2L2"
"687","NFKB1"
"688","NGFR"
"689","NISCH"
"690","NLRP3"
"691","NMUR2"
"692","NOS1"
"693","NOS2"
"694","NOS3"
"695","NOTCH1"
"696","NOTCH3"
"697","NOTUM"
"698","NOX1"
"699","NOX4"
"700","NPC1L1"
"701","NPY5R"
"702","NQO2"
"703","NR0B2"
"704","NR1H2"
"705","NR1H3"
"706","NR1H4"
"707","NR1I2"
"708","NR1I3"
"709","NR3C1"
"710","NR3C2"
"711","NR4A1"
"712","NR5A1"
"713","NRP1"
"714","NTRK1"
"715","NTRK2"
"716","NTSR1"
"717","NTSR2"
"718","NUAK1"
