"","x"
"583","CHEMBL3754"
"584","CHEMBL223"
"585","CHEMBL4409"
"586","CHEMBL6140"
"587","CHEMBL4425"
"588","CHEMBL311"
"589","CHEMBL2275"
"590","CHEMBL269"
"591","CHEMBL5880"
"592","CHEMBL4531"
"593","CHEMBL1781859"
"594","CHEMBL2608"
"595","CHEMBL1827"
"596","CHEMBL2203"
"597","CHEMBL5008"
"598","CHEMBL5474"
"599","CHEMBL1075145"
"600","CHEMBL4241"
"601","CHEMBL1293249"
"602","CHEMBL4081"
"603","CHEMBL4316"
"604","CHEMBL1770047"
"605","CHEMBL2118"
"606","CHEMBL3048"
"607","CHEMBL2781"
"608","CHEMBL3286"
"609","CHEMBL2276"
"610","CHEMBL5443"
"611","CHEMBL244"
"612","CHEMBL1844"
"613","CHEMBL302"
"614","CHEMBL3385"
"615","CHEMBL5543"
"616","CHEMBL1862"
"617","CHEMBL4722"
"618","CHEMBL4731"
"619","CHEMBL2595"
"620","CHEMBL1919"
"621","CHEMBL4713"
"622","CHEMBL4618"
"623","CHEMBL3744"
"624","CHEMBL2938"
"625","CHEMBL2996"
"626","CHEMBL3616"
"627","CHEMBL3920"
"628","CHEMBL3368"
"629","CHEMBL2063"
"630","CHEMBL3761"
"631","CHEMBL5102"
"632","CHEMBL2539"
"633","CHEMBL2611"
"634","CHEMBL3759"
"635","CHEMBL4616"
"636","CHEMBL3018"
"637","CHEMBL4657"
"638","CHEMBL331"
"639","CHEMBL5145"
"640","CHEMBL5888"
"641","CHEMBL2424"
"642","CHEMBL3902"
"643","CHEMBL2675"
"644","CHEMBL2718"
"645","CHEMBL2721"
"646","CHEMBL3067"
"647","CHEMBL4791"
"648","CHEMBL3607"
"649","CHEMBL3504"
"650","CHEMBL3503"
"651","CHEMBL2474"
"652","CHEMBL4675"
"653","CHEMBL3736"
"654","CHEMBL5462"
"655","CHEMBL3325"
"656","CHEMBL2552"
"657","CHEMBL4963"
"658","CHEMBL2001"
"659","CHEMBL5666"
"660","CHEMBL5736"
"661","CHEMBL2871"
"662","CHEMBL202"
"663","CHEMBL3228"
"664","CHEMBL3505"
"665","CHEMBL1293226"
"666","CHEMBL4016"
"667","CHEMBL3842"
"668","CHEMBL4079"
"669","CHEMBL4224"
"670","CHEMBL288"
"671","CHEMBL2250"
"672","CHEMBL2543"
"673","CHEMBL1075189"
"674","CHEMBL2411"
"675","CHEMBL3055"
"676","CHEMBL5251"
"677","CHEMBL2285"
"678","CHEMBL2414"
"679","CHEMBL1741207"
"680","CHEMBL1741215"
"681","CHEMBL2835"
"682","CHEMBL344"
"683","CHEMBL6009"
"684","CHEMBL3476"
"685","CHEMBL3836"
"686","CHEMBL3778"
"687","CHEMBL4561"
"688","CHEMBL6166"
"689","CHEMBL2125"
"690","CHEMBL2470"
"691","CHEMBL4767"
"692","CHEMBL2014"
"693","CHEMBL3130"
"694","CHEMBL2023"
"695","CHEMBL3559"
"696","CHEMBL3614"
"697","CHEMBL4355"
"698","CHEMBL2046259"
"699","CHEMBL2662"
"700","CHEMBL3524"
"701","CHEMBL5573"
"702","CHEMBL1801"
"703","CHEMBL4123"
"704","CHEMBL4660"
"705","CHEMBL3402"
"706","CHEMBL5847"
"707","CHEMBL1966"
"708","CHEMBL3179"
"709","CHEMBL3589"
"710","CHEMBL2568"
"711","CHEMBL3102"
"712","CHEMBL4502"
"713","CHEMBL2880"
"714","CHEMBL1910"
"715","CHEMBL1997"
"716","CHEMBL3360"
"717","CHEMBL2664"
"718","CHEMBL2384"
"719","CHEMBL2325"
"720","CHEMBL1075167"
"721","CHEMBL2468"
"722","CHEMBL2828"
"723","CHEMBL3357"
"724","CHEMBL4181"
"725","CHEMBL1795117"
"726","CHEMBL4101"
"727","CHEMBL3189"
"728","CHEMBL3706"
"729","CHEMBL2527"
"730","CHEMBL2534"
"731","CHEMBL3831"
"732","CHEMBL5600"
"733","CHEMBL4567"
"734","CHEMBL4508"
"735","CHEMBL2864"
"736","CHEMBL3171"
"737","CHEMBL2363"
"738","CHEMBL1615382"
"739","CHEMBL1795188"
"740","CHEMBL2121"
"741","CHEMBL4833"
"742","CHEMBL5064"
"743","CHEMBL3972"
"744","CHEMBL3046"
"745","CHEMBL1913"
"746","CHEMBL5524"
"747","CHEMBL1987"
"748","CHEMBL3833"
"749","CHEMBL6184"
"750","CHEMBL4027"
"751","CHEMBL4828"
"752","CHEMBL2072"
"753","CHEMBL227"
"754","CHEMBL1968"
"755","CHEMBL1878"
"756","CHEMBL5035"
"757","CHEMBL5080"
"758","CHEMBL1873"
"759","CHEMBL4507"
"760","CHEMBL1649052"
"761","CHEMBL4015"
"762","CHEMBL2150838"
"763","CHEMBL3764"
"764","CHEMBL4921"
"765","CHEMBL1902"
"766","CHEMBL2052031"
"767","CHEMBL4050"
"768","CHEMBL4554"
"769","CHEMBL4261"
"770","CHEMBL2815"
"771","CHEMBL275"
"772","CHEMBL4374"
"773","CHEMBL4527"
"774","CHEMBL5285"
"775","CHEMBL4805"
"776","CHEMBL3066"
"777","CHEMBL3663"
"778","CHEMBL2581"
"779","CHEMBL4829"
"780","CHEMBL4179"
"781","CHEMBL5408"
"782","CHEMBL3529"
"783","CHEMBL4662"
"784","CHEMBL4625"
"785","CHEMBL4132"
"786","CHEMBL4360"
"787","CHEMBL4644"
"788","CHEMBL4306"
"789","CHEMBL1795176"
"790","CHEMBL4977"
"791","CHEMBL1075132"
