"gene","log2FoldChange","baseMean","t","pvalue","padj","B"
"ENSG00000039139",-0.264816452688306,3.50614708381059,-2.88292849409324,0.00541253855785166,0.767519057441701,-2.34442743248672
"ENSG00000112592",0.166658195195404,3.18585190281952,2.88066468009437,0.005446857656089,0.767519057441701,-2.39125019186406
"ENSG00000134954",-0.347395624305987,4.21454792897151,-2.87970118196181,0.00546152510005935,0.767519057441701,-2.28978385628565
"ENSG00000232034",-0.381789735367689,1.53356475224107,-2.87442390934487,0.00554251142916908,0.767519057441701,-2.73505391983735
"ENSG00000180263",-0.20378632650532,5.67648490241496,-2.87035690719048,0.00560568043896388,0.767519057441701,-2.27857941558215
"ENSG00000221870",-0.253073284409213,3.03610001134865,-2.86699750879723,0.00565835992283951,0.767519057441701,-2.43800231758617
"ENSG00000163344",-0.223457343205271,3.71126464562412,-2.86540922490438,0.00568342507598196,0.767519057441701,-2.35603538847844
"ENSG00000176887",-0.291861636617998,2.60368337920172,-2.862307117518,0.00573267636624998,0.767519057441701,-2.52040330351876
"ENSG00000220660",0.581639751500532,-0.561442281035938,2.8552929892686,0.00584549456885894,0.767519057441701,-3.42042723318738
"ENSG00000137962",-0.251029578052011,5.66945719609786,-2.8516167015118,0.00590544101828312,0.767519057441701,-2.31672652000766
"ENSG00000105497",0.143436136231227,4.0620891397775,2.8500852766806,0.00593057984269966,0.767519057441701,-2.35755798618628
"ENSG00000161405",0.714915385160078,-1.19745584547099,2.84814687538358,0.0059625409555198,0.767519057441701,-3.62813785666549
"ENSG00000267858",0.293817560581424,0.893333920203335,2.84673334081281,0.00598594801351502,0.767519057441701,-2.94443157735489
"ENSG00000078814",0.339888086475021,3.85851750933035,2.84492515337993,0.00601601384496643,0.767519057441701,-2.38390023268618
"ENSG00000170624",-0.247149205893074,4.74301045624116,-2.84298893274219,0.00604836302026664,0.767519057441701,-2.34144512976438
"ENSG00000179564",0.799245496214465,-1.30471346242675,2.84137909666335,0.0060753812800327,0.767519057441701,-3.66613114129218
"ENSG00000145375",0.138013857075168,3.92260673959904,2.84137662808768,0.00607542279609331,0.767519057441701,-2.38457915885572
"ENSG00000197360",-0.465506742141428,2.48958556920952,-2.8379575975834,0.006133175317861,0.767519057441701,-2.58390049599717
"ENSG00000118503",-0.823096037841587,1.59422648520722,-2.83651206158065,0.00615774454682061,0.767519057441701,-2.78102741053483
