"gene","log2FoldChange","baseMean","t","pvalue","padj","B"
"ENSG00000162396",0.0739712303299345,1.64097594020866,0.668008797219778,0.506925737918449,0.999008181313891,-4.75502725447716
"ENSG00000213420",0.134677986415039,-0.102248550899571,0.667882167773472,0.507005952236955,0.999008181313891,-4.67353572928801
"ENSG00000245856",0.167076620407104,-1.11098181282239,0.667851885100397,0.507025136025718,0.999008181313891,-4.64718340252578
"ENSG00000009335",0.0341575032134132,6.62495347707262,0.66782576273663,0.507041684612449,0.999008181313891,-5.02871772382269
"ENSG00000245571",-0.0774982957375362,0.597427500661947,-0.667760636147592,0.50708294374901,0.999008181313891,-4.70057832052364
"ENSG00000202343",0.175469031215589,-2.0444644108566,0.667729666530439,0.507102564323201,0.999008181313891,-4.63143160284833
"ENSG00000250831",-0.11495004364665,-0.708798434657,-0.667662622130543,0.50714504121572,0.999008181313891,-4.65823884113726
"ENSG00000164346",0.0736939634730299,4.49357884211369,0.667628513092259,0.507225434196129,0.999008181313891,-4.96134604139854
"ENSG00000131401",0.166569266255459,0.142811180284256,0.667527720240355,0.507240046154035,0.999008181313891,-4.68309036353
"ENSG00000149596",-0.235737090353191,-1.4308759536711,-0.66738320144631,0.507322488302593,0.999008181313891,-4.64137936760482
"ENSG00000095015",-0.0587724946132987,4.2685265419525,-0.667349840832911,0.507343233443622,0.999008181313891,-4.94764162336456
"ENSG00000134313",0.0417695406592061,8.4795885687747,0.667315642631366,0.507364905489024,0.999008181313891,-5.04593251461343
"ENSG00000244256",-0.203284062086311,-2.22152377346194,-0.667300118190291,0.507374743785027,0.999008181313891,-4.62914213490627
"ENSG00000220522",0.177640224303843,-2.06075908083322,0.667296051297278,0.507377321112046,0.999008181313891,-4.63048565192231
"ENSG00000139318",-0.0795088882145852,5.68492331300798,-0.667420470387847,0.507423297641112,0.999008181313891,-5.0087038500484
"ENSG00000194717",0.199071767315951,-2.21898250370886,0.667222374323589,0.507424013913945,0.999008181313891,-4.62960416402684
"ENSG00000198780",0.0424976701344996,7.31908399346865,0.667163565786,0.507461285504301,0.999008181313891,-5.03777544993598
"ENSG00000132326",0.0742710005123472,5.25931587026219,0.667223592974959,0.507518058376,0.999008181313891,-4.99808993257856
"ENSG00000133477",-0.230564183534875,-2.77119635291481,-0.667017164196256,0.507554078108503,0.999008181313891,-4.62276184297117
"ENSG00000175604",0.137072251848612,-0.840189303877149,0.666899967176361,0.507628366798873,0.999008181313891,-4.65349363852044
"ENSG00000241985",0.230048724958997,-2.65857585724624,0.666897759253919,0.507629766410088,0.999008181313891,-4.62431913316104
"ENSG00000153363",0.132815093912735,0.0647805356257812,0.666827759785362,0.507674140443274,0.999008181313891,-4.67989600768724
"ENSG00000125170",0.0535018325104158,3.87180340273032,0.666788585321977,0.507698974815394,0.999008181313891,-4.92110936329417
"ENSG00000070718",0.0674669575236378,6.53058066347344,0.666766877636348,0.50774444787963,0.999008181313891,-5.02708191940421
"ENSG00000228695",0.24458320173853,-2.53220306416903,0.666712096739839,0.507747466095984,0.999008181313891,-4.62584442948272
"ENSG00000172725",-0.0655156014386195,3.65477501566652,-0.66666253648705,0.507778887022553,0.999008181313891,-4.90426232857462
"ENSG00000225146",-0.228008525122643,-2.38695859034176,-0.666578251389139,0.507832325717153,0.999008181313891,-4.62744829945871
"ENSG00000171928",0.0370175322706643,4.51417295510796,0.666571103889489,0.507836857536149,0.999008181313891,-4.96353332072384
"ENSG00000230433",-0.134822712511386,-0.374483336054888,-0.666447367400504,0.5079153151933,0.999008181313891,-4.66681106065493
"ENSG00000215065",0.198438689692916,-1.78889906498388,0.666427416241211,0.507927966246631,0.999008181313891,-4.63459281780825
"ENSG00000104723",0.0728703935977749,6.13685541623922,0.666546603400662,0.507933657368939,0.999008181313891,-5.01946855751129
"ENSG00000229010",-0.113973638867627,-0.17755716200134,-0.666405775092894,0.507941689116064,0.999008181313891,-4.67250323296426
"ENSG00000218426",-0.0773564212525973,1.87227189996341,-0.666334219384491,0.507987064732372,0.999008181313891,-4.76905748302316
"ENSG00000070778",-0.0417351662671329,3.99760906517388,-0.666040881740103,0.50817310175219,0.999008181313891,-4.92991348186052
"ENSG00000263235",-0.142235962785254,-0.894749706571926,-0.666040849593794,0.508173122141642,0.999008181313891,-4.65195311611939
"ENSG00000176108",-0.0568283464015436,1.97534487977858,-0.665998155966321,0.508200201834425,0.999008181313891,-4.77627514173346
"ENSG00000223697",0.111460833334319,-0.26554144693173,0.665916967984527,0.508251699852798,0.999008181313891,-4.66826719796926
"ENSG00000213587",0.105766608497235,-0.28962793313433,0.665890747813686,0.508268332063465,0.999008181313891,-4.66812106317434
"ENSG00000240174",-0.10808051693926,0.774754293725501,-0.665870640067104,0.508281087185836,0.999008181313891,-4.70970911518229
"ENSG00000240498",-0.15936316826467,-0.237388453517385,-0.665851523871845,0.508293213488752,0.999008181313891,-4.67116595885591
"ENSG00000158552",0.036615251201535,4.00428864874903,0.665834938669859,0.508303734389747,0.999008181313891,-4.9308003356522
"ENSG00000226711",-0.0415748199302047,4.81956242779476,-0.665811896660945,0.508318351391401,0.999008181313891,-4.97992333388427
"ENSG00000247774",-0.134222430348579,-0.230125684165861,-0.66565807496997,0.508415936008763,0.999008181313891,-4.66957414655249
"ENSG00000153094",-0.0750011387334422,2.21826501154345,-0.665645476982713,0.50842392863024,0.999008181313891,-4.79402075905953
"ENSG00000207375",-0.121629510720257,0.244651110585347,-0.665426589095447,0.50856280987606,0.999008181313891,-4.68761665416463
"ENSG00000239264",0.166568544126054,-1.087791916065,0.665379618240512,0.508592614877299,0.999008181313891,-4.64675872947043
"ENSG00000002933",-0.130541850542291,1.03327642274689,-0.665160002754389,0.508731982708842,0.999008181313891,-4.72394690665915
"ENSG00000162510",-0.174238186790587,-1.55560613283368,-0.665152541242055,0.508736718140518,0.999008181313891,-4.63858778244692
