"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NOLC1",1.60210431814789e-31,-0.233656826745199,0.053,0.066,2.63173826088744e-26
"DISC1FP1",1.62122674983376e-31,0.498160739840861,0.055,0.042,2.66194952093155e-26
"GRB14",1.65692144132262e-31,0.471915910915097,0.08,0.065,2.71933186811956e-26
"GNAI2",1.70487205071177e-31,-0.237396497346072,0.136,0.156,2.79676781521055e-26
"ARGLU1",1.72336997327222e-31,0.118854069327392,0.444,0.421,2.82583994488601e-26
"KLHL4",1.8460962023276e-31,0.439148392012299,0.158,0.139,3.0257139727141e-26
"MYO1E",1.87739506919079e-31,0.173094823543908,0.129,0.11,3.07562800526531e-26
"LYSMD2",1.89435544322122e-31,-0.177265914283901,0.122,0.141,3.10201778771976e-26
"RRM2B",2.09466155295119e-31,-0.234215828151688,0.099,0.117,3.42847859692874e-26
"NSG2",2.23484058066053e-31,-0.105732832484209,0.32,0.343,3.65627611425771e-26
"PRPF8",2.29648105598569e-31,-0.206165268525039,0.161,0.183,3.75543497587769e-26
"LFNG",2.30596897488238e-31,-1.04517337841015,0.008,0.014,3.76925804041972e-26
"PMP2",2.33137872257338e-31,-0.463753781718827,0.041,0.053,3.80908230321543e-26
"UROS",2.49251955123993e-31,-0.222517281744103,0.167,0.188,4.07053325439566e-26
"ZNF414",2.70390598209697e-31,-0.383133249237472,0.04,0.052,4.41376912993914e-26
"JAK1",2.85412309072852e-31,0.116069769747949,0.494,0.475,4.65689134894648e-26
"AHI1",3.09506560935803e-31,0.115982448712199,0.6,0.583,5.04776041016035e-26
"LINC01411",3.11417319980593e-31,0.320831784262626,0.044,0.032,5.07664962395659e-26
"EGFR",3.17958012838752e-31,-0.421363073533748,0.097,0.114,5.18095527421158e-26
"RABGEF1",3.19422357918342e-31,0.144430203430299,0.459,0.44,5.20248825660634e-26
"AL158832.2",3.21351691015669e-31,0.262756907738598,0.046,0.034,5.231571943671e-26
"NOS1AP",3.26501874782066e-31,0.226075905602978,0.327,0.307,5.3130413227658e-26
"EP400",3.29286339723913e-31,0.213823378145883,0.265,0.243,5.35595867619542e-26
"MRPL4",3.30756714804688e-31,-0.296289701819724,0.114,0.133,5.37747311663149e-26
"LASP1",3.31424684366082e-31,-0.175425208406084,0.151,0.172,5.3859285948412e-26
"SRXN1",3.36561328700011e-31,-0.176651759123691,0.029,0.04,5.46696384595749e-26
"PADI2",3.45463542960544e-31,0.102575508858323,0.077,0.062,5.60906594072056e-26
"C2CD2L",3.57081462352238e-31,-0.21422033869925,0.104,0.123,5.79511486614276e-26
"YIF1A",3.69924220956736e-31,-0.4648088923628,0.03,0.04,6.0008672442045e-26
"C11orf80",3.89173518923186e-31,0.256947520039722,0.321,0.302,6.31031626261918e-26
"IMPAD1",4.1541053127335e-31,-0.179760064499884,0.153,0.174,6.73274283610231e-26
"CHPF2",4.15975940186515e-31,-0.414533481294964,0.039,0.051,6.73890760047871e-26
"CEP126",4.18285564339617e-31,0.285424036602325,0.282,0.262,6.77331101367647e-26
"SEMA5A",4.38505279186341e-31,-0.476741536415455,0.148,0.168,7.09757359856641e-26
"AC099792.1",4.43351054409926e-31,-0.668261308721974,0.036,0.048,7.17281859191637e-26
"TRMT11",4.56607585133324e-31,0.175116680796947,0.41,0.393,7.38401094993901e-26
"SLAIN1",4.69925951894935e-31,0.18516423556454,0.365,0.341,7.59601536651792e-26
"ATP11A",4.80195244994327e-31,0.245435587363024,0.213,0.191,7.75856745024105e-26
"PIM1",5.04953445371628e-31,-0.412637383893306,0.022,0.031,8.15497042069567e-26
"FAF1",5.19226157016303e-31,0.119226800262165,0.548,0.532,8.38175696478756e-26
"SUPT16H",5.619938335411e-31,-0.18012654157692,0.16,0.181,9.06812687351422e-26
"NT5C3B",5.81661036399498e-31,-0.247683328029212,0.099,0.117,9.3813131218865e-26
