Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-9759476,"Regulation of Homotypic Cell-Cell Adhesion",1,215,0.013317641228939544,0.026457922889976282,0.026457922889976282,1,125,0.00787748928661457,9606,Homo sapiens,"furin","","R-HSA-9816275"
R-HSA-6805567,"Keratinization",1,226,0.013999008919722498,0.027802045588710578,0.027802045588710578,1,34,0.002142677085959163,9606,Homo sapiens,"furin","","R-HSA-8849797"
R-HSA-418990,"Adherens junctions interactions",1,238,0.014742319127849356,0.029267302282431462,0.029267302282431462,1,141,0.008885807915301235,9606,Homo sapiens,"furin","","R-HSA-9816275"
R-HSA-162906,"HIV Infection",1,248,0.015361744301288404,0.03048750541459877,0.03048750541459877,1,160,0.01008318628686665,9606,Homo sapiens,"furin","","R-HSA-171288"
R-HSA-157118,"Signaling by NOTCH",1,260,0.016105054509415264,0.0319507362380792,0.0319507362380792,2,165,0.010398285858331233,9606,Homo sapiens,"furin","","R-HSA-1912372;R-HSA-1912369"
R-HSA-421270,"Cell-cell junction organization",1,271,0.016786422200198214,0.033291060430113095,0.033291060430113095,1,146,0.009200907486765818,9606,Homo sapiens,"furin","","R-HSA-9816275"
R-HSA-162582,"Signal Transduction",2,3051,0.18898662041625372,0.03571594269635714,0.03571594269635714,9,2584,0.1628434585328964,9606,Homo sapiens,"furin","","R-HSA-186785;R-HSA-9733203;R-HSA-1912372;R-HSA-8865276;R-HSA-8865275;R-HSA-1912369;R-HSA-9736953;R-HSA-187020;R-HSA-170844"
R-HSA-446728,"Cell junction organization",1,298,0.018458870168483646,0.03657701044907047,0.03657701044907047,1,162,0.010209226115452483,9606,Homo sapiens,"furin","","R-HSA-9816275"
R-HSA-9658195,"Leishmania infection",1,301,0.01864469772051536,0.036941770687941355,0.036941770687941355,1,95,0.0059868918578270735,9606,Homo sapiens,"furin","","R-HSA-9662786"
R-HSA-9824443,"Parasitic Infection Pathways",1,301,0.01864469772051536,0.036941770687941355,0.036941770687941355,1,95,0.0059868918578270735,9606,Homo sapiens,"furin","","R-HSA-9662786"
R-HSA-1500931,"Cell-Cell communication",1,336,0.02081268582755203,0.04119220376374766,0.04119220376374766,1,185,0.011658684144189564,9606,Homo sapiens,"furin","","R-HSA-9816275"
R-HSA-1474244,"Extracellular matrix organization",1,351,0.021741823587710606,0.043010940282502075,0.043010940282502075,5,330,0.020796571716662465,9606,Homo sapiens,"furin","","R-HSA-2172405;R-HSA-2471842;R-HSA-1602466;R-HSA-1602484;R-HSA-2129357"
R-HSA-9694516,"SARS-CoV-2 Infection",1,369,0.022856788899900893,0.04519114500098731,0.04519114500098731,3,211,0.013297201915805395,9606,Homo sapiens,"furin","","R-HSA-9769949;R-HSA-9699007;R-HSA-9698988"
R-HSA-9839923,"Dengue Virus Infection",1,411,0.025458374628344896,0.05026862041797264,0.05026862041797264,2,142,0.008948827829594152,9606,Homo sapiens,"furin","","R-HSA-9922491;R-HSA-9919050"
R-HSA-9824439,"Bacterial Infection Pathways",1,414,0.02564420218037661,0.05063077925528525,0.05063077925528525,3,234,0.014746659944542476,9606,Homo sapiens,"furin","","R-HSA-5210935;R-HSA-9683546;R-HSA-5210912"
R-HSA-913531,"Interferon Signaling",1,418,0.02589197224975223,0.05111355027252262,0.05111355027252262,1,140,0.008822788001008318,9606,Homo sapiens,"furin","","R-HSA-9954252"
R-HSA-9679506,"SARS-CoV Infections",1,576,0.035678889990089196,0.0700847967892535,0.0700847967892535,4,402,0.025334005545752457,9606,Homo sapiens,"furin","","R-HSA-9769949;R-HSA-9683546;R-HSA-9699007;R-HSA-9698988"
R-HSA-9006934,"Signaling by Receptor Tyrosine Kinases",1,634,0.03927155599603568,0.07700085688172165,0.07700085688172165,4,759,0.04783211494832367,9606,Homo sapiens,"furin","","R-HSA-186785;R-HSA-8865276;R-HSA-8865275;R-HSA-187020"
R-HSA-382551,"Transport of small molecules",1,1001,0.06200445986124876,0.12016436667981245,0.12016436667981245,1,463,0.02917822031762037,9606,Homo sapiens,"furin","","R-HSA-6784628"
R-HSA-1280215,"Cytokine Signaling in Immune system",1,1106,0.06850842418235877,0.13232344418076758,0.13232344418076758,1,806,0.05079405092009075,9606,Homo sapiens,"furin","","R-HSA-9954252"
R-HSA-9824446,"Viral Infection Pathways",1,1404,0.08696729435084243,0.16637127841497867,0.16637127841497867,9,897,0.056528863120746155,9606,Homo sapiens,"furin","","R-HSA-9829200;R-HSA-9769949;R-HSA-9683546;R-HSA-171288;R-HSA-9922491;R-HSA-9699007;R-HSA-9919050;R-HSA-9837707;R-HSA-9698988"
R-HSA-597592,"Post-translational protein modification",1,1680,0.10406342913776016,0.1972976609916106,0.1972976609916106,9,606,0.03819006806150744,9606,Homo sapiens,"furin","","R-HSA-163843;R-HSA-159728;R-HSA-163798;R-HSA-159796;R-HSA-159733;R-HSA-159771;R-HSA-159868;R-HSA-6807224;R-HSA-159773"
R-HSA-5663205,"Infectious disease",1,1962,0.12153121902874132,0.2282926008588707,0.2282926008588707,12,1225,0.0771993950088228,9606,Homo sapiens,"furin","","R-HSA-9662786;R-HSA-9829200;R-HSA-9769949;R-HSA-5210935;R-HSA-9683546;R-HSA-171288;R-HSA-9922491;R-HSA-9699007;R-HSA-9919050;R-HSA-9837707;R-HSA-5210912;R-HSA-9698988"
R-HSA-1266738,"Developmental Biology",1,1968,0.12190287413280476,0.22894543754377106,0.22894543754377106,2,980,0.06175951600705823,9606,Homo sapiens,"furin","","R-HSA-1181152;R-HSA-8849797"
R-HSA-392499,"Metabolism of proteins",1,2430,0.1505203171456888,0.2783842684177389,0.2783842684177389,10,929,0.05854550037811949,9606,Homo sapiens,"furin","","R-HSA-163843;R-HSA-159728;R-HSA-163798;R-HSA-159796;R-HSA-159733;R-HSA-159771;R-HSA-159868;R-HSA-5693081;R-HSA-6807224;R-HSA-159773"
R-HSA-168256,"Immune System",1,2800,0.1734390485629336,0.31679699355945157,0.31679699355945157,1,1822,0.11482228384169398,9606,Homo sapiens,"furin","","R-HSA-9954252"
R-HSA-1643685,"Disease",1,3093,0.1915882061446977,0.3464703715556523,0.3464703715556523,12,2167,0.13656415427275018,9606,Homo sapiens,"furin","","R-HSA-9662786;R-HSA-9829200;R-HSA-9769949;R-HSA-5210935;R-HSA-9683546;R-HSA-171288;R-HSA-9922491;R-HSA-9699007;R-HSA-9919050;R-HSA-9837707;R-HSA-5210912;R-HSA-9698988"
