Rank,ChEMBL ID,Common name,CHEMBL3687,CHEMBL229,B0ZBD8
11,CHEMBL3242,Carbonic anhydrase XII,NA,NA,NA
12,CHEMBL242,Estrogen receptor beta,NA,NA,NA
13,CHEMBL205,Carbonic anhydrase II,NA,NA,NA
14,CHEMBL261,Carbonic anhydrase I,NA,NA,NA
15,CHEMBL5393,ATP-binding cassette sub-family G member 2,NA,NA,NA
16,CHEMBL3729,Carbonic anhydrase IV,NA,NA,NA
17,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,NA,NA,NA
18,CHEMBL3510,Carbonic anhydrase XIV,NA,NA,NA
19,CHEMBL2231,Cytochrome P450 1A1,NA,NA,NA
20,CHEMBL312,Arachidonate 5-lipoxygenase,NA,NA,NA
1,CHEMBL1978,Cytochrome P450 19A1,NA,NA,NA
2,CHEMBL3687,Arachidonate 12-lipoxygenase,NA,NA,NA
3,CHEMBL2903,Arachidonate 15-lipoxygenase,NA,NA,NA
4,CHEMBL2039,Monoamine oxidase B,NA,NA,NA
5,CHEMBL3199,Acetylcholinesterase,NA,NA,NA
6,CHEMBL242,Estrogen receptor beta,NA,NA,NA
7,CHEMBL206,Estrogen receptor alpha,NA,NA,NA
8,CHEMBL2842,Serine/threonine-protein kinase mTOR,NA,NA,NA
9,CHEMBL2085,Macrophage migration inhibitory factor,NA,NA,NA
10,CHEMBL2056,Dopamine D1 receptor,NA,NA,NA
11,CHEMBL1951,Monoamine oxidase A,NA,NA,NA
12,CHEMBL205,Carbonic anhydrase II,NA,NA,NA
13,CHEMBL3267,PI3-kinase p110-gamma subunit,NA,NA,NA
14,CHEMBL2724,Estrogen receptor alpha,NA,NA,NA
15,CHEMBL318,Adenosine A1 receptor,NA,NA,NA
16,CHEMBL265,Dopamine D1 receptor,NA,NA,NA
