"","x"
"503","CHEMBL4040"
"504","CHEMBL4068"
"505","CHEMBL4070"
"506","CHEMBL4072"
"507","CHEMBL4073"
"508","CHEMBL4077"
"509","CHEMBL4078"
"510","CHEMBL4080"
"511","CHEMBL4093"
"512","CHEMBL4096"
"513","CHEMBL4102"
"514","CHEMBL4105864"
"515","CHEMBL4105907"
"516","CHEMBL4123"
"517","CHEMBL4124"
"518","CHEMBL4128"
"519","CHEMBL4130"
"520","CHEMBL4142"
"521","CHEMBL4143"
"522","CHEMBL4145"
"523","CHEMBL4153"
"524","CHEMBL4158"
"525","CHEMBL4159"
"526","CHEMBL4163"
"527","CHEMBL4179"
"528","CHEMBL4188"
"529","CHEMBL4191"
"530","CHEMBL4198"
"531","CHEMBL4203"
"532","CHEMBL4204"
"533","CHEMBL4224"
"534","CHEMBL4225"
"535","CHEMBL4226"
"536","CHEMBL4227"
"537","CHEMBL4235"
"538","CHEMBL4247"
"539","CHEMBL4261"
"540","CHEMBL4282"
"541","CHEMBL4296"
"542","CHEMBL4296320"
"543","CHEMBL4302"
"544","CHEMBL4303"
"545","CHEMBL4308"
"546","CHEMBL4315"
"547","CHEMBL4321"
"548","CHEMBL4333"
"549","CHEMBL4354"
"550","CHEMBL4361"
"551","CHEMBL4372"
"552","CHEMBL4393"
"553","CHEMBL4394"
"554","CHEMBL4409"
"555","CHEMBL4411"
"556","CHEMBL4414"
"557","CHEMBL4422"
"558","CHEMBL4427"
"559","CHEMBL4429"
"560","CHEMBL4439"
"561","CHEMBL4441"
"562","CHEMBL4462"
"563","CHEMBL4471"
"564","CHEMBL4477"
"565","CHEMBL4481"
"566","CHEMBL4489"
"567","CHEMBL4501"
"568","CHEMBL4506"
"569","CHEMBL4508"
"570","CHEMBL4518"
"571","CHEMBL4523"
"572","CHEMBL4523156"
"573","CHEMBL4523377"
"574","CHEMBL4523582"
"575","CHEMBL4527"
"576","CHEMBL4531"
"577","CHEMBL4550"
"578","CHEMBL4561"
"579","CHEMBL4566"
"580","CHEMBL4578"
"581","CHEMBL4581"
"582","CHEMBL4588"
"583","CHEMBL4598"
"584","CHEMBL4599"
"585","CHEMBL4607"
"586","CHEMBL4608"
"587","CHEMBL4616"
"588","CHEMBL4618"
"589","CHEMBL4625"
"590","CHEMBL4630"
"591","CHEMBL4644"
"592","CHEMBL4657"
"593","CHEMBL4660"
"594","CHEMBL4662"
"595","CHEMBL4681"
"596","CHEMBL4683"
"597","CHEMBL4685"
"598","CHEMBL4691"
"599","CHEMBL4718"
"600","CHEMBL4722"
"601","CHEMBL4739695"
"602","CHEMBL4766"
"603","CHEMBL4768"
"604","CHEMBL4774"
"605","CHEMBL4777"
"606","CHEMBL4780"
"607","CHEMBL4789"
"608","CHEMBL4792"
"609","CHEMBL4793"
"610","CHEMBL4801"
"611","CHEMBL4816"
"612","CHEMBL4822"
"613","CHEMBL4828"
"614","CHEMBL4829"
"615","CHEMBL4835"
"616","CHEMBL4879459"
"617","CHEMBL4895"
"618","CHEMBL4898"
"619","CHEMBL4908"
"620","CHEMBL4937"
"621","CHEMBL4975"
"622","CHEMBL4979"
"623","CHEMBL4980"
"624","CHEMBL5014"
"625","CHEMBL5017"
"626","CHEMBL5023"
"627","CHEMBL5024"
"628","CHEMBL5071"
"629","CHEMBL5076"
"630","CHEMBL5077"
"631","CHEMBL5103"
"632","CHEMBL5113"
"633","CHEMBL5136"
"634","CHEMBL5137"
"635","CHEMBL5145"
"636","CHEMBL5147"
"637","CHEMBL5160"
"638","CHEMBL5162"
"639","CHEMBL5251"
"640","CHEMBL5263"
"641","CHEMBL5282"
"642","CHEMBL5285"
"643","CHEMBL5319"
"644","CHEMBL5331"
"645","CHEMBL5366"
"646","CHEMBL5373"
"647","CHEMBL5393"
"648","CHEMBL5401"
"649","CHEMBL5407"
"650","CHEMBL5408"
"651","CHEMBL5409"
"652","CHEMBL5414"
"653","CHEMBL5422"
"654","CHEMBL5443"
"655","CHEMBL5462"
"656","CHEMBL5464"
"657","CHEMBL5469"
"658","CHEMBL5471"
"659","CHEMBL5491"
"660","CHEMBL5498"
"661","CHEMBL5514"
"662","CHEMBL5543"
"663","CHEMBL5567"
"664","CHEMBL5568"
"665","CHEMBL5570"
"666","CHEMBL5608"
"667","CHEMBL5619"
"668","CHEMBL5620"
"669","CHEMBL5645"
"670","CHEMBL5646"
"671","CHEMBL5652"
"672","CHEMBL5658"
"673","CHEMBL5697"
"674","CHEMBL5719"
"675","CHEMBL5747"
"676","CHEMBL5749"
"677","CHEMBL5763"
"678","CHEMBL5800"
"679","CHEMBL5804"
"680","CHEMBL5805"
"681","CHEMBL5815"
"682","CHEMBL5855"
"683","CHEMBL5879"
"684","CHEMBL5888"
"685","CHEMBL5896"
"686","CHEMBL5903"
"687","CHEMBL5932"
"688","CHEMBL5936"
"689","CHEMBL5971"
"690","CHEMBL5979"
"691","CHEMBL6009"
"692","CHEMBL6032"
"693","CHEMBL6080"
"694","CHEMBL6110"
"695","CHEMBL6115"
"696","CHEMBL6120"
"697","CHEMBL6135"
"698","CHEMBL6136"
"699","CHEMBL6140"
"700","CHEMBL6141"
"701","CHEMBL6152"
"702","CHEMBL6154"
"703","CHEMBL6164"
"704","CHEMBL6166"
"705","CHEMBL6167"
"706","CHEMBL6175"
"707","CHEMBL6184"
