C1C(C(=O)C2=C(C=C(C=C2O1)O)O)C3=CC=C(C=C3)O cid9838356
C1CCNC(C1)C(=O)O cid849
COC1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O cid5280442
COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O cid5281612
C1=CC(=CC(=C1)O)C(=O)O cid7420
C1=CC(=CC=C1C2=COC3=CC(=C(C=C3C2=O)O)O)O cid5284649
CC(=CCC1=C2C(=C(C=C1O)O)C(=O)CC(O2)C3=CC=C(C=C3)O)C cid480764
COC1=C(C=C2C(=C1)C(=O)C(CO2)C3=CC=C(C=C3)O)O cid101101166
CC(C1=CC=C(C=C1)O)C(=O)O cid6971268
C1=CC(=C(C=C1CC(=O)O)O)O cid547
COC1=C(C=C(C=C1)CCC(=O)O)O cid2752054
C1=CC(=CC=C1CC(=O)O)O cid127
C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O cid932
COC1=C(C=C(C=C1)CCC(=O)C2=C(C=C(C=C2O)O)O)O cid147608
C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2O)O)O)O cid5280960
C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O cid4788
C1=C(C=C(C=C1O)O)O cid359
CN1C2=C(N=CC(=C2)C3=CC=CC=C3)N=C1N cid1530
CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C cid439520
C1(C(C(OC(C1O)O)C(=O)O)O)O cid94715
CC(C(=O)O)O cid61503
C1=NC2=C(N1)C(=O)NC=N2 cid135398638
C1=CC=C2C(=C1)C(=CN2)CCN cid1150
C(C1C(C(C(O1)(COP(=O)(O)O)O)O)O)OP(=O)(O)O cid10267
C(C(C(=O)O)O)OP(=O)(O)O cid724
CCCCCC=CCC(=O)CCCCCCCCC(=O)O cid24970825
CCCCCCC=CC(=O)CCCCCCCCC(=O)O cid10308378
C1=CC(=C(C=C1CC(CCC(=O)O)O)O)O cid52920332
C1CC(OC(=O)C1)C2=CC(=C(C=C2)O)O cid45093073
C(C(C1C(=C(C(=O)O1)O)O)O)O cid54670067
C1=CC2=C(C=C1O)C(=CN2)CC(=O)O cid1826
CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O cid445580
C(CC(=O)O)CN cid119
CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[NH3+])O cid58177709
CCCCCCCCCCCCC=CCCC(C(CCCCCCCCCCCCCCC1=CC(OC1=O)C)O)O cid131751737
CCCCCCCCCCCCCCC=CCCC(C(CCCCCCCCCCC1=CC(OC1=O)C)O)O cid102066451
CC1=CC=C(C=C1)OC2C(C(C(C(O2)C(=O)O)O)O)O cid154035
CC1=CC=C(C=C1)OS(=O)(=O)O cid4615423
CC(C)C(C(=O)O)N cid6287
CC(C)CCC(=O)O cid12587
