"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HS2ST1",0.0322353098619047,0.253975211482344,0.106,0.089,0.0358016793428398
"MYEOV2",0.0328324396107283,0.123370986957983,0.178,0.167,0.0364528699167171
"EPHB1",0.0332444061151568,0.128243261784845,0.154,0.134,0.0368981184029035
"LINC00486",0.0334460372313215,-0.319917902591398,0.197,0.203,0.0371038389530505
"ARHGAP35",0.0334517563759936,-0.107387512271799,0.173,0.177,0.0371038389530505
"ARL8B",0.0336904771095913,-0.124309305264973,0.191,0.202,0.0373563377023838
"ZC3H12B",0.0337437517578527,0.116988450150744,0.115,0.103,0.0374031135981719
"RPL24",0.0345372648922984,0.154069938781754,0.139,0.126,0.0382701033119981
"RXRB",0.0345972926225665,-0.212587118158937,0.089,0.101,0.038324028905063
"HSPA9",0.0352840328345745,-0.161023950349185,0.15,0.163,0.0390719116057189
"CDK8",0.0353759296576119,0.119727235072002,0.166,0.149,0.0391608174385051
"C9orf72",0.0354352783245368,0.150160809797708,0.132,0.117,0.0392136462561229
"GNPTAB",0.035654769012141,0.108794327715013,0.171,0.158,0.0394435998287804
"TMEM2",0.0360435139740898,0.158202208054936,0.105,0.092,0.0398605811916737
"FIS1",0.0360950609198101,-0.191776457565905,0.096,0.105,0.0399045035996459
"FAM134C",0.0364501843462559,-0.229979094910609,0.091,0.102,0.0402839029488601
"ANAPC10",0.0368368275174779,0.144254422816861,0.111,0.1,0.0406967412303857
"ORC2",0.0368478647250513,0.15020244625399,0.149,0.132,0.0406967412303857
"PCDH15",0.0369968105320849,-0.114712394334855,0.233,0.22,0.0408478696971268
"SP3",0.0370667772845313,0.158316360297952,0.134,0.118,0.0409117276769386
"PJA2",0.0373942670635577,-0.100785682024171,0.379,0.401,0.0412596868843245
"CELF3",0.0374534691664425,-0.178204393004587,0.127,0.138,0.0413114949308079
"MEF2D",0.037562260656995,-0.110890758300275,0.133,0.14,0.0414179487401256
"CHN2",0.0377257804137509,-0.135041652715231,0.144,0.152,0.0415846592599941
"TMEM120B",0.037751673932535,0.150658893134594,0.112,0.097,0.0415996067214768
"TMED10",0.0378551099598142,-0.145324054474373,0.104,0.11,0.0416999627349619
"MLH3",0.0381523878882581,0.161252133035019,0.112,0.097,0.0420137134662405
"TMEM50A",0.0382478441937829,-0.137487797688577,0.1,0.108,0.0421050843556232
"PPFIA1",0.0385273550078124,0.147249212797788,0.163,0.143,0.0423989456578634
"DNM1L",0.0385697422859635,0.142424329307731,0.281,0.251,0.0424317484444079
"DAP3",0.0388175491390578,0.130775082947673,0.143,0.126,0.0426904444884389
"CCNL2",0.0396695509322927,0.106259710864222,0.184,0.166,0.0436132318430976
"RPL23A",0.0398150272218345,0.103987639604164,0.143,0.128,0.0437589074028177
